ip,rfc1413,userid,requesttime,resource,statuscode,requestsize,referrer,useragent,Column10
200.200.200.130,-,-,[16/Oct/2023:21:18:17-0400],GET / HTTP/1.1,200,3380,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:18-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:18-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:18-0400],GET / HTTP/1.1,200,11011,() { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; },() { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;,
200.200.200.130,-,-,[16/Oct/2023:21:18:18-0400],GET / HTTP/1.1,200,11011,() { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; },() { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;,
200.200.200.130,-,-,[16/Oct/2023:21:18:18-0400],GET / HTTP/1.1,200,11010,() { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; },() { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;,
200.200.200.130,-,-,[16/Oct/2023:21:18:18-0400],OPTIONS * HTTP/1.1,200,163,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:18-0400],OPTIONS / HTTP/1.1,200,217,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:18-0400],GET /./ HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:19-0400],GET /?mod=node&nid=some_thing&op=view HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:19-0400],GET /?mod=some_thing&op=browse HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:19-0400],GET /./ HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:19-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:19-0400],GET // HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:19-0400],GET /?OpenServer HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:19-0400],GET // HTTP/1.1,200,11012,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:19-0400],GET /%2e/ HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:19-0400],GET /%2e/ HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:19-0400],GET /%2e/ HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:20-0400],GET /?mod=<script>alert(document.cookie)</script>&op=browse HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:20-0400],GET /?sql_debug=1 HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:20-0400],GET /// HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:20-0400],GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:20-0400],GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:20-0400],GET /?=PHPE9568F34-D428-11d2-A769-00AA001ACF42 HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:20-0400],GET /?=PHPE9568F35-D428-11d2-A769-00AA001ACF42 HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET /server-status HTTP/1.1,200,4641,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET /?PageServices HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET /?wp-cs-dump HTTP/1.1,200,11010,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11012,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
200.200.200.130,-,-,[16/Oct/2023:21:18:21-0400],GET / HTTP/1.1,200,11011,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",
